Name,PCA,IncrementalPCA,RandomTreesEmbedding,SelectKBest,SpectralEmbedding,TruncatedSVD,LDA,LLE,KPCA,t-SNE
hiva_agnostic,0.965,0.966,0.965,0.9665,0.95,0.9625,0.963,0.9666666666666668,0.965,0.966
BurkittLymphoma,0.8272727272727274,0.8272727272727274,0.740909090909091,0.8272727272727274,0.4227272727272727,0.7136363636363636,0.7954545454545455,0.7636363636363634,0.8090909090909092,0.6954545454545455
leukemia,0.8047619047619048,0.8047619047619048,0.7495238095238095,0.900952380952381,0.6009523809523809,0.6923809523809523,0.8171428571428573,0.6104761904761904,0.7361904761904763,0.719047619047619
tumors_C,0.5833333333333333,0.5833333333333333,0.5666666666666667,0.6333333333333333,0.5166666666666667,0.5666666666666667,0.6333333333333333,0.3666666666666667,0.6,0.65
AP_Breast_Prostate,0.9879224213928886,0.9903320599471056,0.983073758448428,0.9927710843373492,0.9250661181310608,0.9879518072289156,0.9927710843373492,0.980693505730238,0.9903320599471056,0.9927710843373492
AP_Endometrium_Breast,0.965432098765432,0.9728395061728394,0.9358024691358026,0.9802469135802468,0.9185185185185184,0.8395061728395061,0.9703703703703702,0.9679012345679012,0.9703703703703704,0.982716049382716
AP_Omentum_Uterus,0.8359756097560975,0.8359756097560975,0.8260975609756098,0.8609756097560977,0.5879268292682926,0.7465853658536584,0.8357317073170731,0.8210975609756097,0.8309756097560976,0.7460975609756098
AP_Omentum_Prostate,0.9657471264367816,0.9657471264367816,0.9452873563218392,0.9726436781609196,0.5535632183908046,0.9590804597701148,0.9588505747126436,0.7806896551724138,0.9588505747126436,0.9521839080459772
AP_Colon_Lung,0.9005877167205407,0.8811930649426977,0.8763150161622099,0.9297678518953864,0.6575668527769615,0.8760799294739934,0.9271525124889805,0.912665295327652,0.8787540405524537,0.915045548045842
AP_Breast_Omentum,0.9383193277310924,0.9478151260504202,0.9002521008403361,0.9549019607843136,0.6912324929971989,0.8052100840336134,0.9382072829131654,0.9358543417366946,0.9407002801120448,0.9524649859943978
OVA_Breast,0.9359223300970876,0.95210355987055,0.9158576051779936,0.9533980582524272,0.7171521035598706,0.7521035598705502,0.9372168284789644,0.9506666666666664,0.9320388349514562,0.9281553398058252
AP_Uterus_Kidney,0.9583390293916608,0.9583390293916608,0.942652084757348,0.9583048530416952,0.8230348598769652,0.95311004784689,0.9661312371838686,0.9661312371838688,0.9583390293916608,0.9661312371838688
OVA_Lung,0.966990291262136,0.9689320388349516,0.9365695792880258,0.9728155339805824,0.8699029126213592,0.9126213592233012,0.9398058252427184,0.972,0.9689320388349516,0.943042071197411
AP_Prostate_Uterus,0.9844804318488528,0.9844804318488528,0.9792172739541162,0.9843454790823212,0.7824561403508772,0.9843454790823212,0.989608636977058,0.9638326585695006,0.9948717948717948,0.9429149797570848
AP_Omentum_Lung,0.8965853658536587,0.8965853658536587,0.8469512195121951,0.9115853658536583,0.3884146341463415,0.7784146341463416,0.8815853658536585,0.896829268292683,0.9015853658536586,0.8173170731707318
AP_Endometrium_Colon,0.962608695652174,0.9596687370600416,0.9596687370600414,0.9653830227743272,0.8703933747412009,0.9538302277432712,0.956687370600414,0.9508902691511388,0.9568115942028984,0.9422774327122154
OVA_Kidney,0.9818770226537216,0.9818770226537216,0.964401294498382,0.9838187702265372,0.924271844660194,0.9676375404530744,0.9838187702265372,0.9853333333333332,0.9818770226537216,0.9805825242718448
AP_Colon_Prostate,0.9830985915492958,0.9830985915492958,0.9830985915492958,0.9802816901408452,0.8985915492957746,0.9802816901408452,0.9859154929577464,0.9605633802816902,0.9830985915492958,0.9830985915492958
AP_Lung_Uterus,0.9,0.9,0.8560000000000001,0.916,0.492,0.836,0.884,0.9,0.8879999999999999,0.8280000000000001
AP_Colon_Kidney,0.9780316930775644,0.9780316930775644,0.972510425354462,0.9743452877397832,0.6134945788156798,0.9633527939949958,0.9761968306922436,0.9688907422852376,0.9780316930775644,0.9651876563803172
OVA_Uterus,0.936569579288026,0.9320388349514562,0.9132686084142394,0.9294498381877024,0.9042071197411004,0.9119741100323626,0.916504854368932,0.932,0.937864077669903,0.9255663430420712
OVA_Omentum,0.9488673139158575,0.946925566343042,0.9495145631067962,0.9533980582524272,0.920388349514563,0.9488673139158574,0.9533980582524272,0.954,0.9475728155339804,0.9508090614886732
AP_Ovary_Lung,0.901201923076923,0.8888942307692307,0.8241826923076923,0.90125,0.3362980769230769,0.8333653846153846,0.8795192307692308,0.8643269230769232,0.898125,0.8580769230769232
AP_Endometrium_Prostate,0.976923076923077,0.976923076923077,0.976923076923077,0.9846153846153848,0.5615384615384615,0.9615384615384616,0.9692307692307692,0.8384615384615385,0.976923076923077,0.9615384615384616
OVA_Endometrium,0.9585760517799352,0.959223300970874,0.9559870550161812,0.9637540453074436,0.9482200647249192,0.9540453074433656,0.9592233009708736,0.96,0.9566343042071198,0.9514563106796116
AP_Colon_Omentum,0.9092846270928464,0.8982115677321157,0.8926179604261796,0.9449771689497718,0.8048325722983257,0.9230593607305936,0.9175418569254186,0.9256468797564688,0.9009893455098934,0.9229832572298328
AP_Prostate_Kidney,0.9818181818181818,0.9818181818181818,0.9848484848484848,0.9848484848484848,0.8387412587412587,0.987878787878788,0.987878787878788,0.9666200466200466,0.9818181818181818,0.9817715617715616
AP_Breast_Colon,0.9333333333333332,0.938095238095238,0.923809523809524,0.9523809523809524,0.6746031746031746,0.9412698412698411,0.9492063492063492,0.9428571428571428,0.9158730158730158,0.9444444444444444
OVA_Prostate,0.997411003236246,0.996116504854369,0.9941747572815534,0.997411003236246,0.9346278317152104,0.9462783171521036,0.9967637540453074,0.996,0.9967637540453074,0.997411003236246
AP_Omentum_Kidney,0.96729587357331,0.96729587357331,0.9553555750658472,0.9762071992976296,0.8574187884108866,0.9612818261633012,0.9643107989464444,0.9643985952589992,0.96729587357331,0.946488147497805
AP_Breast_Uterus,0.9466026080988332,0.9465797300388928,0.9166552276366964,0.9572866620910544,0.7798444291924046,0.9103180050331732,0.9444063143445436,0.9380004575611988,0.9487302676733012,0.9529627087622968
AP_Ovary_Kidney,0.958408982322026,0.9584328714763496,0.9497611084567608,0.9737935977066412,0.6551122790253224,0.971595795508839,0.969374104156713,0.9540611562350692,0.9562589584328716,0.9715719063545152
AP_Breast_Lung,0.9191489361702128,0.9212765957446808,0.8787234042553191,0.9212765957446808,0.6978723404255319,0.8063829787234044,0.9170212765957446,0.9276595744680852,0.9212765957446808,0.9297872340425531
AP_Endometrium_Omentum,0.8912698412698413,0.8912698412698413,0.897883597883598,0.9272486772486772,0.3285714285714285,0.8693121693121693,0.8835978835978835,0.7174603174603174,0.8693121693121693,0.8113756613756614
AP_Prostate_Ovary,0.9887491264849756,0.9887491264849756,0.988819007686932,0.9962962962962962,0.8356394129979036,0.9888888888888888,0.9851153039832286,0.9289308176100628,0.9887491264849756,0.9775681341719078
AP_Colon_Ovary,0.8698024054982818,0.8760094501718212,0.8698238831615119,0.9132517182130584,0.636340206185567,0.9050472508591064,0.8924828178694157,0.8863831615120276,0.847143470790378,0.9090850515463916
AP_Endometrium_Lung,0.9304409672830726,0.9304409672830726,0.9092460881934568,0.9517780938833572,0.5386913229018492,0.8982930298719772,0.9358463726884778,0.9412517780938832,0.9305832147937412,0.8556187766714082
AP_Prostate_Lung,0.964102564102564,0.964102564102564,0.9538461538461538,0.9743589743589745,0.5897435897435898,0.9589743589743588,0.9743589743589742,0.9487179487179488,0.964102564102564,0.9538461538461538
AP_Omentum_Ovary,0.7563636363636363,0.7381818181818182,0.7127272727272727,0.7745454545454546,0.6654545454545454,0.7309090909090908,0.72,0.7090909090909091,0.7527272727272727,0.6545454545454545
AP_Endometrium_Kidney,0.968846153846154,0.965721153846154,0.965721153846154,0.978173076923077,0.953221153846154,0.9656730769230768,0.975,0.9906730769230768,0.968846153846154,0.9625
AP_Breast_Kidney,0.9718595041322312,0.973526170798898,0.9619421487603306,0.970206611570248,0.7202617079889807,0.9669146005509642,0.9685537190082644,0.9652479338842974,0.973526170798898,0.9669146005509642
AP_Endometrium_Ovary,0.7991704374057316,0.7759426847662143,0.7913273001508296,0.8685520361990949,0.7259426847662143,0.748868778280543,0.8377828054298642,0.8724736048265461,0.7797134238310708,0.775867269984917
AP_Colon_Uterus,0.94390243902439,0.9414634146341464,0.9341463414634144,0.953658536585366,0.8414634146341463,0.9341463414634148,0.9317073170731708,0.9292682926829268,0.9414634146341464,0.9414634146341464
OVA_Colon,0.9540453074433656,0.9637540453074432,0.9423948220064724,0.9644012944983816,0.8925566343042071,0.9229773462783172,0.9514563106796118,0.9566666666666668,0.9553398058252428,0.9533980582524272
AP_Ovary_Uterus,0.7515865384615384,0.7206730769230769,0.7764903846153846,0.8229326923076922,0.4967307692307692,0.6771634615384615,0.8044230769230769,0.7268269230769231,0.733125,0.7609615384615385
AP_Lung_Kidney,0.9508824508824508,0.9405594405594406,0.9275724275724276,0.9534798534798534,0.6996336996336997,0.950849150849151,0.956043956043956,0.912121212121212,0.9405594405594406,0.9534132534132536
AP_Endometrium_Uterus,0.6702702702702703,0.6702702702702703,0.664864864864865,0.6972972972972974,0.6,0.6000000000000001,0.5783783783783785,0.6918918918918919,0.7135135135135136,0.6324324324324324
AP_Breast_Ovary,0.9096670064559972,0.926265715256541,0.8930682976554538,0.9446822969758748,0.69570166496772,0.8487088005436629,0.9557084607543324,0.9446313285762826,0.909683995922528,0.940995582738702
OVA_Ovary,0.8970873786407768,0.9009708737864076,0.882200647249191,0.9016181229773462,0.8343042071197411,0.8627831715210356,0.8627831715210356,0.9006666666666667,0.9022653721682848,0.8906148867313917
eating,0.3671957671957672,0.3534391534391534,0.3238095238095237,0.3915343915343914,0.1883597883597883,0.182010582010582,0.2941798941798941,0.3185185185185185,0.3682539682539683,0.2529100529100528
amazon-commerce-reviews,0.038,0.2933333333333333,0.066,0.0546666666666666,0.0266666666666666,0.0826666666666666,0.1266666666666666,0.1273333333333333,0.068,0.264
arcene,0.8300000000000001,0.8300000000000001,0.765,0.8299999999999998,0.5549999999999999,0.6249999999999999,0.65,0.805,0.8300000000000001,0.6849999999999999
micro-mass,0.8055555555555556,0.825,0.7944444444444445,0.8583333333333334,0.1861111111111111,0.586111111111111,0.7027777777777777,0.8555555555555555,0.8083333333333333,0.8388888888888889
micro-mass,0.8055555555555556,0.825,0.7944444444444445,0.8583333333333334,0.1861111111111111,0.586111111111111,0.7027777777777777,0.8555555555555555,0.8083333333333333,0.8388888888888889
Bioresponse,0.72,0.7334999999999999,0.6984999999999999,0.722,0.5665,0.593,0.611,0.6813333333333333,0.719,0.6809999999999999
CIFAR_10_small,0.2475,0.2595,0.2525,0.2259999999999999,0.1145,0.1624999999999999,0.2155,0.2626666666666667,0.2605,0.193
UMIST_Faces_Cropped,0.9495652173913044,0.9495652173913044,0.9478260869565218,0.9547826086956522,0.0921739130434782,0.5530434782608695,0.6347826086956522,0.928695652173913,0.9478260869565218,0.9165217391304348
STL-10,0.2525,0.2594999999999999,0.258,0.246,0.1565,0.1685,0.2274999999999999,0.2599999999999999,0.2455,0.235
arcene,0.8300000000000001,0.8300000000000001,0.765,0.8299999999999998,0.5549999999999999,0.6249999999999999,0.65,0.805,0.8300000000000001,0.6849999999999999
guillermo,0.5455,0.5415,0.5325000000000001,0.5485,0.5355,0.5215,0.5370000000000001,0.53,0.5545,0.522
riccardo,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dilbert,0.8550000000000001,0.8474999999999999,0.6705,0.8620000000000001,0.236,0.392,0.6635000000000001,0.828,0.8465,0.7294999999999999
robert,0.2545,0.2685,0.2555,0.229,0.125,0.1664999999999999,0.2004999999999999,0.2606666666666667,0.2489999999999999,0.1715
SVHN_small,0.9489999999999998,0.9485,0.9485,0.9489999999999998,0.9475,0.9465,0.946,1.0,0.949,0.945
kits-subset,0.6599999999999999,0.6599999999999999,0.6399999999999999,0.6599999999999999,0.52,0.6100000000000001,0.5800000000000001,0.6300000000000001,0.6699999999999999,0.54
kits,0.601,0.6130000000000001,0.6290000000000001,0.601,0.51,0.639,0.627,0.623,0.603,0.646
toxicity,0.6495798319327731,0.6495798319327731,0.5969747899159664,0.6549579831932772,0.5904201680672269,0.590420168067227,0.5850420168067226,0.5620168067226892,0.6552941176470589,0.6257142857142858
Bioresponse,0.72,0.7334999999999999,0.6984999999999999,0.722,0.5665,0.593,0.611,0.6813333333333333,0.719,0.6809999999999999
